,Year,Series,Value
Belize,2018,Consumer price index: Food,103.1116
Benin,1995,Consumer price index: General,61.1353
Benin,2005,Consumer price index: General,84.3121
Benin,2010,Consumer price index: General,100
Benin,2015,Consumer price index: General,109.8115
Benin,2016,Consumer price index: General,108.8799
Benin,2017,Consumer price index: General,108.966
Benin,2018,Consumer price index: General,110.0819
Benin,2010,Consumer price index: Food,100
Benin,2015,Consumer price index: Food,113.0283
Benin,2016,Consumer price index: Food,112.5076
Benin,2017,Consumer price index: Food,112.4568
Bhutan,1995,Consumer price index: General,56.6593
Bhutan,2005,Consumer price index: General,74.8457
Bhutan,2010,Consumer price index: General,100
Bhutan,2015,Consumer price index: General,146.2421
Bhutan,2016,Consumer price index: General,152.5454
Bhutan,2017,Consumer price index: General,158.431
Bhutan,2018,Consumer price index: General,162.7463
Bhutan,2015,Consumer price index: Food,121.5101
Bhutan,2016,Consumer price index: Food,138.6553
Bhutan,2017,Consumer price index: Food,135.8217
Bolivia (Plurin. State of),1995,Consumer price index: General,46.237
Bolivia (Plurin. State of),2005,Consumer price index: General,73.0427
Bolivia (Plurin. State of),2010,Consumer price index: General,100
Bolivia (Plurin. State of),2015,Consumer price index: General,133.6511
Bolivia (Plurin. State of),2016,Consumer price index: General,138.4963
Bolivia (Plurin. State of),2017,Consumer price index: General,142.4049
Bolivia (Plurin. State of),2018,Consumer price index: General,145.6332
Bolivia (Plurin. State of),2010,Consumer price index: Food,100
Bolivia (Plurin. State of),2015,Consumer price index: Food,145.7772
Bolivia (Plurin. State of),2016,Consumer price index: Food,153.8122
Bolivia (Plurin. State of),2017,Consumer price index: Food,158.9589
Bolivia (Plurin. State of),2018,Consumer price index: Food,163.0054
Bosnia and Herzegovina,2005,Consumer price index: General,84.9437
Bosnia and Herzegovina,2010,Consumer price index: General,100
Bosnia and Herzegovina,2015,Consumer price index: General,103.6806
Bosnia and Herzegovina,2016,Consumer price index: General,102.5514
Bosnia and Herzegovina,2017,Consumer price index: General,103.75
Bosnia and Herzegovina,2005,Consumer price index: Food,81.4068
Bosnia and Herzegovina,2010,Consumer price index: Food,100
Bosnia and Herzegovina,2015,Consumer price index: Food,104.0668
Bosnia and Herzegovina,2016,Consumer price index: Food,102.9423
Botswana,1995,Consumer price index: General,29.4786
Botswana,2005,Consumer price index: General,64.2933
Botswana,2010,Consumer price index: General,100
Botswana,2015,Consumer price index: General,132.8816
Botswana,2016,Consumer price index: General,136.6228
Botswana,2017,Consumer price index: General,141.1
Botswana,2018,Consumer price index: General,145.6772
Botswana,2005,Consumer price index: Food,56.064
Botswana,2010,Consumer price index: Food,100
Botswana,2015,Consumer price index: Food,126.9385
Botswana,2016,Consumer price index: Food,130.3412
Botswana,2017,Consumer price index: Food,134.8
Botswana,2018,Consumer price index: Food,134.1354
Brazil,1995,Consumer price index: General,36.6403
Brazil,2005,Consumer price index: General,79.5437
Brazil,2010,Consumer price index: General,100
Brazil,2015,Consumer price index: General,138.3887
Brazil,2016,Consumer price index: General,150.4
Brazil,2017,Consumer price index: General,155.6698
Brazil,2018,Consumer price index: General,161.3733
Brazil,2010,Consumer price index: Food,100
Brazil,2015,Consumer price index: Food,154.4367
Brazil,2016,Consumer price index: Food,173.6
Brazil,2017,Consumer price index: Food,175.2595
Brazil,2018,Consumer price index: Food,176.7843
Brunei Darussalam,1995,Consumer price index: General,90.9072
Brunei Darussalam,2005,Consumer price index: General,95.5299
Brunei Darussalam,2010,Consumer price index: General,100
Brunei Darussalam,2015,Consumer price index: General,100.0147
Brunei Darussalam,2016,Consumer price index: General,99.2755
Brunei Darussalam,2017,Consumer price index: General,99.1054
Brunei Darussalam,2018,Consumer price index: General,99.2546
Brunei Darussalam,2010,Consumer price index: Food,100
Brunei Darussalam,2015,Consumer price index: Food,100.7042
Brunei Darussalam,2016,Consumer price index: Food,99.7576
Brunei Darussalam,2017,Consumer price index: Food,100.0181
Bulgaria,1995,Consumer price index: General,1.6275
Bulgaria,2005,Consumer price index: General,72.7256
Bulgaria,2010,Consumer price index: General,100
Bulgaria,2015,Consumer price index: General,106.6073
Bulgaria,2016,Consumer price index: General,105.7558
Bulgaria,2017,Consumer price index: General,107.939
Bulgaria,2018,Consumer price index: General,110.9743
Bulgaria,1995,Consumer price index: Food,2.0588
Bulgaria,2005,Consumer price index: Food,72.3672
Bulgaria,2010,Consumer price index: Food,100
Bulgaria,2015,Consumer price index: Food,112.4679
Bulgaria,2016,Consumer price index: Food,112.2054
Bulgaria,2017,Consumer price index: Food,116.682
Bulgaria,2018,Consumer price index: Food,119.244
Burkina Faso,1995,Consumer price index: General,66.5852
Burkina Faso,2005,Consumer price index: General,86.9254
Burkina Faso,2010,Consumer price index: General,100
Burkina Faso,2015,Consumer price index: General,107.9975
Burkina Faso,2016,Consumer price index: General,107.7332
Burkina Faso,2017,Consumer price index: General,108.1223
Burkina Faso,2018,Consumer price index: General,110.1382
