,Year,Series,Value
Bahrain,2014,Emissions per capita (metric tons of carbon dioxide),23
Bangladesh,1975,Emissions (thousand metric tons of carbon dioxide),"4,870"
Bangladesh,1985,Emissions (thousand metric tons of carbon dioxide),"10,235"
Bangladesh,1995,Emissions (thousand metric tons of carbon dioxide),"22,816"
Bangladesh,2005,Emissions (thousand metric tons of carbon dioxide),"39,479"
Bangladesh,2010,Emissions (thousand metric tons of carbon dioxide),"59,937"
Bangladesh,2012,Emissions (thousand metric tons of carbon dioxide),"67,506"
Bangladesh,2013,Emissions (thousand metric tons of carbon dioxide),"69,710"
Bangladesh,2014,Emissions (thousand metric tons of carbon dioxide),"73,190"
Bangladesh,1975,Emissions per capita (metric tons of carbon dioxide),0.1
Bangladesh,1985,Emissions per capita (metric tons of carbon dioxide),0.1
Bangladesh,1995,Emissions per capita (metric tons of carbon dioxide),0.2
Bangladesh,2005,Emissions per capita (metric tons of carbon dioxide),0.3
Bangladesh,2010,Emissions per capita (metric tons of carbon dioxide),0.4
Bangladesh,2012,Emissions per capita (metric tons of carbon dioxide),0.4
Bangladesh,2013,Emissions per capita (metric tons of carbon dioxide),0.4
Bangladesh,2014,Emissions per capita (metric tons of carbon dioxide),0.5
Barbados,1975,Emissions (thousand metric tons of carbon dioxide),568
Barbados,1985,Emissions (thousand metric tons of carbon dioxide),847
Barbados,1995,Emissions (thousand metric tons of carbon dioxide),829
Barbados,2005,Emissions (thousand metric tons of carbon dioxide),"1,353"
Barbados,2010,Emissions (thousand metric tons of carbon dioxide),"1,478"
Barbados,2012,Emissions (thousand metric tons of carbon dioxide),"1,470"
Barbados,2013,Emissions (thousand metric tons of carbon dioxide),"1,448"
Barbados,2014,Emissions (thousand metric tons of carbon dioxide),"1,272"
Barbados,1975,Emissions per capita (metric tons of carbon dioxide),2.3
Barbados,1985,Emissions per capita (metric tons of carbon dioxide),3.3
Barbados,1995,Emissions per capita (metric tons of carbon dioxide),3.2
Barbados,2005,Emissions per capita (metric tons of carbon dioxide),5
Barbados,2010,Emissions per capita (metric tons of carbon dioxide),5.3
Barbados,2012,Emissions per capita (metric tons of carbon dioxide),5.2
Barbados,2013,Emissions per capita (metric tons of carbon dioxide),5.1
Barbados,2014,Emissions per capita (metric tons of carbon dioxide),4.5
Belarus,1995,Emissions (thousand metric tons of carbon dioxide),"60,773"
Belarus,2005,Emissions (thousand metric tons of carbon dioxide),"59,167"
Belarus,2010,Emissions (thousand metric tons of carbon dioxide),"63,043"
Belarus,2012,Emissions (thousand metric tons of carbon dioxide),"63,223"
Belarus,2013,Emissions (thousand metric tons of carbon dioxide),"63,769"
Belarus,2014,Emissions (thousand metric tons of carbon dioxide),"63,498"
Belarus,1995,Emissions per capita (metric tons of carbon dioxide),5.9
Belarus,2005,Emissions per capita (metric tons of carbon dioxide),6
Belarus,2010,Emissions per capita (metric tons of carbon dioxide),6.6
Belarus,2012,Emissions per capita (metric tons of carbon dioxide),6.7
Belarus,2013,Emissions per capita (metric tons of carbon dioxide),6.7
Belarus,2014,Emissions per capita (metric tons of carbon dioxide),6.7
Belgium,1975,Emissions (thousand metric tons of carbon dioxide),"122,100"
Belgium,1985,Emissions (thousand metric tons of carbon dioxide),"104,473"
Belgium,1995,Emissions (thousand metric tons of carbon dioxide),"112,328"
Belgium,2005,Emissions (thousand metric tons of carbon dioxide),"108,510"
Belgium,2010,Emissions (thousand metric tons of carbon dioxide),"110,824"
Belgium,2012,Emissions (thousand metric tons of carbon dioxide),"95,107"
Belgium,2013,Emissions (thousand metric tons of carbon dioxide),"96,970"
Belgium,2014,Emissions (thousand metric tons of carbon dioxide),"93,351"
Belgium,1975,Emissions per capita (metric tons of carbon dioxide),12.5
Belgium,1985,Emissions per capita (metric tons of carbon dioxide),10.6
Belgium,1995,Emissions per capita (metric tons of carbon dioxide),11.1
Belgium,2005,Emissions per capita (metric tons of carbon dioxide),10.4
Belgium,2010,Emissions per capita (metric tons of carbon dioxide),10.2
Belgium,2012,Emissions per capita (metric tons of carbon dioxide),8.6
Belgium,2013,Emissions per capita (metric tons of carbon dioxide),8.7
Belgium,2014,Emissions per capita (metric tons of carbon dioxide),8.3
Belize,1975,Emissions (thousand metric tons of carbon dioxide),176
Belize,1985,Emissions (thousand metric tons of carbon dioxide),191
Belize,1995,Emissions (thousand metric tons of carbon dioxide),378
Belize,2005,Emissions (thousand metric tons of carbon dioxide),422
Belize,2010,Emissions (thousand metric tons of carbon dioxide),539
Belize,2012,Emissions (thousand metric tons of carbon dioxide),477
Belize,2013,Emissions (thousand metric tons of carbon dioxide),513
Belize,2014,Emissions (thousand metric tons of carbon dioxide),495
Belize,1975,Emissions per capita (metric tons of carbon dioxide),1.3
Belize,1985,Emissions per capita (metric tons of carbon dioxide),1.1
Belize,1995,Emissions per capita (metric tons of carbon dioxide),1.7
Belize,2005,Emissions per capita (metric tons of carbon dioxide),1.5
Belize,2010,Emissions per capita (metric tons of carbon dioxide),1.7
Belize,2012,Emissions per capita (metric tons of carbon dioxide),1.4
Belize,2013,Emissions per capita (metric tons of carbon dioxide),1.5
Belize,2014,Emissions per capita (metric tons of carbon dioxide),1.4
Benin,1975,Emissions (thousand metric tons of carbon dioxide),444
Benin,1985,Emissions (thousand metric tons of carbon dioxide),744
Benin,1995,Emissions (thousand metric tons of carbon dioxide),"1,327"
Benin,2005,Emissions (thousand metric tons of carbon dioxide),"2,395"
Benin,2010,Emissions (thousand metric tons of carbon dioxide),"5,090"
Benin,2012,Emissions (thousand metric tons of carbon dioxide),"5,471"
Benin,2013,Emissions (thousand metric tons of carbon dioxide),"5,812"
Benin,2014,Emissions (thousand metric tons of carbon dioxide),"6,318"
Benin,1975,Emissions per capita (metric tons of carbon dioxide),0.1
Benin,1985,Emissions per capita (metric tons of carbon dioxide),0.2
Benin,1995,Emissions per capita (metric tons of carbon dioxide),0.2
Benin,2005,Emissions per capita (metric tons of carbon dioxide),0.3
Benin,2010,Emissions per capita (metric tons of carbon dioxide),0.6
