[T24.],Land,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
202,Sub-Saharan Africa,2005,Permanent crops (thousand hectares),"25,534",Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2005,Forest cover (thousand hectares),"617,725",Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2005,Arable land (% of total land area),8.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2005,Permanent crops (% of total land area),1.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2005,Forest cover (% of total land area),29.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),34.94,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
202,Sub-Saharan Africa,2010,Land area (thousand hectares),"2,126,855",Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2010,Arable land (thousand hectares),"184,076",Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2010,Permanent crops (thousand hectares),"27,221",Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2010,Forest cover (thousand hectares),"601,469",Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2010,Arable land (% of total land area),8.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2010,Permanent crops (% of total land area),1.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2010,Forest cover (% of total land area),28.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),40.17,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
202,Sub-Saharan Africa,2016,Land area (thousand hectares),"2,126,882",Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2016,Arable land (thousand hectares),"192,184",Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2016,Permanent crops (thousand hectares),"27,675",Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2016,Forest cover (thousand hectares),"592,595",Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2016,Arable land (% of total land area),9.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2016,Permanent crops (% of total land area),1.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2016,Forest cover (% of total land area),27.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2016,Important sites for terrestrial biodiversity protected (% of total sites protected),41.65,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
202,Sub-Saharan Africa,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),41.99,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
14,Eastern Africa,2005,Land area (thousand hectares),"605,629",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
14,Eastern Africa,2005,Arable land (thousand hectares),"55,770",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
14,Eastern Africa,2005,Permanent crops (thousand hectares),"6,913",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
14,Eastern Africa,2005,Forest cover (thousand hectares),"203,745",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
14,Eastern Africa,2005,Arable land (% of total land area),9.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
14,Eastern Africa,2005,Permanent crops (% of total land area),1.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
14,Eastern Africa,2005,Forest cover (% of total land area),33.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
14,Eastern Africa,2010,Land area (thousand hectares),"605,700",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
14,Eastern Africa,2010,Arable land (thousand hectares),"62,728",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
14,Eastern Africa,2010,Permanent crops (thousand hectares),"7,604",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
14,Eastern Africa,2010,Forest cover (thousand hectares),"196,249",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
14,Eastern Africa,2010,Arable land (% of total land area),10.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
14,Eastern Africa,2010,Permanent crops (% of total land area),1.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
14,Eastern Africa,2010,Forest cover (% of total land area),32.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
14,Eastern Africa,2016,Land area (thousand hectares),"605,727",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
14,Eastern Africa,2016,Arable land (thousand hectares),"66,405",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
14,Eastern Africa,2016,Permanent crops (thousand hectares),"7,907",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
14,Eastern Africa,2016,Forest cover (thousand hectares),"196,088",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
