T34,Net disbursements of official development assistance to recipients,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
15,Northern Africa,2010,Net official development assistance received: Bilateral  (millions of US dollars),1844.3700,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
15,Northern Africa,2015,Net official development assistance received: Bilateral  (millions of US dollars),3711.9200,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
15,Northern Africa,2016,Net official development assistance received: Bilateral  (millions of US dollars),3585.1700,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
15,Northern Africa,1975,Net official development assistance received: Multilateral (millions of US dollars),178.9300,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
15,Northern Africa,1985,Net official development assistance received: Multilateral (millions of US dollars),142.2600,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
15,Northern Africa,1995,Net official development assistance received: Multilateral (millions of US dollars),277.3600,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
15,Northern Africa,2005,Net official development assistance received: Multilateral (millions of US dollars),979.5500,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
15,Northern Africa,2010,Net official development assistance received: Multilateral (millions of US dollars),822.6500,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
15,Northern Africa,2015,Net official development assistance received: Multilateral (millions of US dollars),1293.5900,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
15,Northern Africa,2016,Net official development assistance received: Multilateral (millions of US dollars),1783.2800,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
15,Northern Africa,1975,Net official development assistance received: Total (millions of US dollars),3240.6700,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
15,Northern Africa,1985,Net official development assistance received: Total (millions of US dollars),2991.2400,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
15,Northern Africa,1995,Net official development assistance received: Total (millions of US dollars),2980.7100,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
15,Northern Africa,2005,Net official development assistance received: Total (millions of US dollars),2684.5200,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
15,Northern Africa,2010,Net official development assistance received: Total (millions of US dollars),2667.0200,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
15,Northern Africa,2015,Net official development assistance received: Total (millions of US dollars),5005.5100,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
15,Northern Africa,2016,Net official development assistance received: Total (millions of US dollars),5368.4500,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
15,Northern Africa,1975,Net official development assistance received: Total (as % GNI),8.1600,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
15,Northern Africa,1985,Net official development assistance received: Total (as % GNI),2.7100,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
15,Northern Africa,1995,Net official development assistance received: Total (as % GNI),1.9300,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
15,Northern Africa,2005,Net official development assistance received: Total (as % GNI),0.8200,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
15,Northern Africa,2010,Net official development assistance received: Total (as % GNI),0.4600,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
15,Northern Africa,2015,Net official development assistance received: Total (as % GNI),0.7900,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
15,Northern Africa,2016,Net official development assistance received: Total (as % GNI),0.8500,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Excluding Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
202,Sub-Saharan Africa,1975,Net official development assistance received: Bilateral  (millions of US dollars),2557.3500,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Including Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
202,Sub-Saharan Africa,1985,Net official development assistance received: Bilateral  (millions of US dollars),7017.1500,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Including Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
202,Sub-Saharan Africa,1995,Net official development assistance received: Bilateral  (millions of US dollars),13771.4600,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Including Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
202,Sub-Saharan Africa,2005,Net official development assistance received: Bilateral  (millions of US dollars),21888.5400,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Including Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
202,Sub-Saharan Africa,2010,Net official development assistance received: Bilateral  (millions of US dollars),27172.1600,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Including Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
202,Sub-Saharan Africa,2015,Net official development assistance received: Bilateral  (millions of US dollars),28455.4900,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Including Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
202,Sub-Saharan Africa,2016,Net official development assistance received: Bilateral  (millions of US dollars),25882.4300,Including regional aid disbursements in addition to the disbursements made to individual countries and areas.;Including Sudan.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2019."
